"country","iso","year","incumbent_vote","previous_vote","gdp_growth","trade_openness","eff_num_parties","gdp_percapita","delta_vote","int_oppose","int_support","binary_growth","binary_openness"
"Angola","AGO",1992,49.6,NA,6.03611,1.05617,0.895226,7.59018,NA,0,0,1,1
"Albania","ALB",1991,56.2,NA,-12.662,0.232199,0.676754,8.08043,NA,1,0,0,0
"Albania","ALB",1992,23.7,56.2,-27.5914,0.118003,0.667829,7.75758,-32.5,1,0,0,0
"Albania","ALB",1996,55.5,57.3,11.382,0.290901,0.267076,8.00166,-1.8,0,0,1,0
"Albania","ALB",1997,24.1,55.5,-4.78847,0.289634,0.727549,8.03149,-31.4,0,0,0,0
"Argentina","ARG",1946,53.7,NA,-4.865,0.067745,0.737164,8.70506,NA,1,0,0,0
"Argentina","ARG",1951,63.5,53.7,3.91565,0.163478,0.672944,8.60883,9.8,0,0,1,0
"Argentina","ARG",1958,31.7,32.3,2.84602,0.151696,0.97456,8.64621,-0.599999999999998,0,0,1,0
"Argentina","ARG",1963,NA,NA,-5.30438,0.162277,1.36098,8.66208,NA,0,0,0,0
"Argentina","ARG",1973,14.8,NA,0.000699,0.131417,1.14125,8.96485,NA,0,0,0,0
"Argentina","ARG",1983,39.1,NA,2.2336,0.173324,0.832909,8.95857,NA,0,0,1,0
"Argentina","ARG",1989,32.5,48.8,-2.03262,0.1882,1.06815,8.92717,-16.3,0,0,0,0
"Argentina","ARG",1995,49.9,47.5,4.17903,0.328077,1.0116,9.04879,2.4,0,0,1,0
"Argentina","ARG",1999,38.7,49.9,-3.70923,0.41613,0.940007,9.11104,-11.2,0,0,0,1
"Armenia","ARM",1996,51.3,NA,5.81146,0.595037,0.832909,7.61535,NA,0,0,1,1
"Armenia","ARM",1998,38.5,51.3,0.50455,0.629816,1.29198,7.62038,-12.8,0,0,0,1
"Australia","AUS",1946,49.7,49.9,-4.655,0.246635,0.874447,9.11976,-0.199999999999996,0,0,0,0
"Australia","AUS",1949,46,49.7,3.86558,0.461404,0.963174,9.21264,-3.7,0,0,1,1
"Australia","AUS",1951,50.3,50.3,2.4152,0.155179,0.940007,9.47523,0,0,0,1,0
"Australia","AUS",1954,47.1,50.3,11.3831,0.146462,0.936486,9.46922,-3.2,0,0,1,0
"Australia","AUS",1955,47.6,47.1,1.68014,0.145427,0.947789,9.55501,0.5,0,0,0,0
"Australia","AUS",1958,46.6,47.6,5.90076,0.140156,0.951086,9.57548,-1,0,0,1,0
"Australia","AUS",1961,42.1,46.6,-2.86919,0.158463,0.922965,9.60034,-4.5,0,0,0,0
"Australia","AUS",1963,46,42.1,4.96501,0.167667,0.976806,9.69629,3.9,0,0,1,0
"Australia","AUS",1966,50,46,4.57701,0.168117,0.966984,9.79969,4,0,0,1,0
"Australia","AUS",1969,43.3,50,4.37084,0.177654,0.957613,9.92087,-6.7,0,0,1,0
"Australia","AUS",1972,41.5,43.3,-0.2337,0.177915,0.9031,9.94514,-1.8,0,0,0,0
"Australia","AUS",1974,49.3,49.6,2.63013,0.185882,0.92479,9.9711,-0.300000000000004,0,0,1,0
"Australia","AUS",1975,42.8,49.3,1.55947,0.209706,0.918688,9.87843,-6.5,0,0,0,0
"Australia","AUS",1977,48.1,53,0.91959,0.211283,0.896088,9.91879,-4.9,0,0,0,0
"Australia","AUS",1980,46.4,48.1,2.45864,0.213559,0.971044,9.99444,-1.7,0,0,1,0
"Australia","AUS",1983,43.6,46.4,-2.75937,0.212444,0.802535,9.98886,-2.8,0,0,0,0
"Australia","AUS",1984,47.5,49.5,3.47079,0.241038,0.868452,10.0541,-2,0,0,1,0
"Australia","AUS",1987,45.8,47.5,4.26393,0.24303,0.824281,10.1502,-1.7,0,0,1,0
"Australia","AUS",1990,39.4,45.8,1.68121,0.265227,0.85601,10.1866,-6.4,0,0,0,0
"Australia","AUS",1993,44.9,39.4,2.76639,0.29411,0.869132,10.2028,5.5,0,0,1,0
"Australia","AUS",1996,38.8,44.9,3.15645,0.333007,0.961299,10.2929,-6.1,0,0,1,0
"Australia","AUS",1998,39.5,47.2,4.01467,0.353841,0.907157,10.3974,-7.7,0,0,1,1
"Austria","AUT",1956,46,41.3,10.3151,0.223264,0.802002,8.99786,4.7,0,0,1,0
"Austria","AUT",1959,44.2,46,3.71847,0.249379,0.787325,9.12562,-1.8,0,0,1,0
"Austria","AUT",1962,45.4,44.2,1.69972,0.285788,0.783902,9.32723,1.2,0,0,0,0
"Austria","AUT",1966,48.3,45.4,2.45194,0.321377,0.759623,9.43757,2.9,0,0,1,0
"Austria","AUT",1970,44.7,48.3,5.37966,0.366473,0.752585,9.59878,-3.59999999999999,0,0,1,1
"Austria","AUT",1971,50,48.4,4.9775,0.403904,0.793282,9.71274,1.6,0,0,1,1
"Austria","AUT",1975,50.4,50,-0.06538,0.438829,0.793282,9.84542,0.399999999999999,0,0,0,1
"Austria","AUT",1979,51,50.4,-1.73237,0.504716,0.798178,9.93023,0.600000000000001,0,0,0,1
"Austria","AUT",1983,47.6,51,0.88127,0.530738,0.816254,10.0272,-3.4,0,0,0,1
